date,cpi_yoy_growth,cpi_yoy
2000-01,0.09999999999999432,100.1
2000-02,0.0,100.0
2000-03,-0.09999999999999432,99.9
2000-04,-0.20000000000000284,99.8
2000-05,0.0,100.0
2000-06,0.20000000000000284,100.2
2000-07,0.20000000000000284,100.2
2000-08,0.0,100.0
2000-09,0.20000000000000284,100.2
2000-10,0.5,100.5
2000-11,0.7999999999999972,100.8
2000-12,0.7999999999999972,100.8
2001-01,0.5,100.5
2001-02,0.5999999999999943,100.6
2001-03,0.7000000000000028,100.7
2001-04,1.2999999999999972,101.3
2001-05,1.4000000000000057,101.4
2001-06,1.2000000000000028,101.2
2001-07,0.7999999999999972,100.8
2001-08,0.4000000000000057,100.4
2001-09,0.0,100.0
2001-10,-0.20000000000000284,99.8
2001-11,-0.5,99.5
2001-12,-0.7000000000000028,99.3
2002-01,-0.7000000000000028,99.3
2002-02,-0.7999999999999972,99.2
2002-03,-0.9000000000000057,99.1
2002-04,-1.2000000000000028,98.8
2002-05,-1.2000000000000028,98.8
2002-06,-1.0,99.0
2002-07,-1.0,99.0
2002-08,-0.9000000000000057,99.1
2002-09,-0.9000000000000057,99.1
2002-10,-0.9000000000000057,99.1
2002-11,-0.5,99.5
2002-12,-0.20000000000000284,99.8
2003-01,0.09999999999999432,100.1
2003-02,0.29999999999999716,100.3
2003-03,0.5999999999999943,100.6
2003-04,0.5999999999999943,100.6
2003-05,0.4000000000000057,100.4
2003-06,0.4000000000000057,100.4
2003-07,0.4000000000000057,100.4
2003-08,0.9000000000000057,100.9
2003-09,1.5999999999999943,101.6
2003-10,2.0,102.0
2003-11,2.4000000000000057,102.4
2003-12,2.700000000000003,102.7
2004-01,2.5999999999999943,102.6
2004-02,2.799999999999997,102.8
2004-03,3.0999999999999943,103.1
2004-04,3.799999999999997,103.8
2004-05,4.400000000000006,104.4
2004-06,4.700000000000003,104.7
2004-07,5.099999999999994,105.1
2004-08,5.0,105.0
2004-09,4.200000000000003,104.2
2004-10,3.799999999999997,103.8
2004-11,3.200000000000003,103.2
2004-12,2.700000000000003,102.7
2005-01,2.799999999999997,102.8
2005-02,2.700000000000003,102.7
2005-03,2.9000000000000057,102.9
2005-04,2.200000000000003,102.2
2005-05,1.7000000000000028,101.7
2005-06,1.5999999999999943,101.6
2005-07,1.4000000000000057,101.4
2005-08,1.0999999999999943,101.1
2005-09,1.0,101.0
2005-10,1.0,101.0
2005-11,1.2999999999999972,101.3
2005-12,1.4000000000000057,101.4
2006-01,1.9000000000000057,101.9
2006-02,0.9000000000000057,100.9
2006-03,0.7999999999999972,100.8
2006-04,1.2000000000000028,101.2
2006-05,1.4000000000000057,101.4
2006-06,1.5,101.5
2006-07,1.0,101.0
2006-08,1.2999999999999972,101.3
2006-09,1.5,101.5
2006-10,1.4000000000000057,101.4
2006-11,1.9000000000000057,101.9
2006-12,2.799999999999997,102.8
2007-01,2.200000000000003,102.2
2007-02,2.700000000000003,102.7
2007-03,3.299999999999997,103.3
2007-04,3.0,103.0
2007-05,3.4000000000000057,103.4
2007-06,4.400000000000006,104.4
2007-07,5.599999999999994,105.6
2007-08,6.5,106.5
2007-09,6.200000000000003,106.2
2007-10,6.5,106.5
2007-11,6.900000000000006,106.9
2007-12,6.5,106.5
2008-01,7.079999999999998,107.08
2008-02,8.739999999999995,108.74
2008-03,8.310000000000002,108.31
2008-04,8.480000000000004,108.48
2008-05,7.719999999999999,107.72
2008-06,7.079999999999998,107.08
2008-07,6.299999999999997,106.3
2008-08,4.900000000000006,104.9
2008-09,4.640000000000001,104.64
2008-10,3.969999999999999,103.97
2008-11,2.430000000000007,102.43
2008-12,1.2000000000000028,101.2
2009-01,0.9500000000000028,100.95
2009-02,-1.5600000000000023,98.44
2009-03,-1.1700000000000017,98.83
2009-04,-1.5,98.5
2009-05,-1.3700000000000045,98.63
2009-06,-1.7000000000000028,98.3
2009-07,-1.8100000000000023,98.19
2009-08,-1.2000000000000028,98.8
2009-09,-0.7900000000000063,99.21
2009-10,-0.5300000000000011,99.47
2009-11,0.5600000000000023,100.56
2009-12,1.8599999999999994,101.86
2010-01,1.5300000000000011,101.53
2010-02,2.700000000000003,102.7
2010-03,2.3700000000000045,102.37
2010-04,2.8100000000000023,102.81
2010-05,3.0600000000000023,103.06
2010-06,2.950000000000003,102.95
2010-07,3.299999999999997,103.3
2010-08,3.480000000000004,103.48
2010-09,3.6099999999999994,103.61
2010-10,4.3700000000000045,104.37
2010-11,5.1200000000000045,105.12
2010-12,4.590000000000003,104.59
2011-01,4.909999999999997,104.91
2011-02,4.939999999999998,104.94
2011-03,5.3799999999999955,105.38
2011-04,5.340000000000003,105.34
2011-05,5.510000000000005,105.51
2011-06,6.359999999999999,106.36
2011-07,6.450000000000003,106.45
2011-08,6.150000000000006,106.15
2011-09,6.069999999999993,106.07
2011-10,5.5,105.5
2011-11,4.219999999999999,104.22
2011-12,4.069999999999993,104.07
2012-01,4.549999999999997,104.55
2012-02,3.1599999999999966,103.16
2012-03,3.5900000000000034,103.59
2012-04,3.3700000000000045,103.37
2012-05,3.0,103.0
2012-06,2.1500000000000057,102.15
2012-07,1.7999999999999972,101.8
2012-08,2.0,102.0
2012-09,1.9000000000000057,101.9
2012-10,1.7000000000000028,101.7
2012-11,2.0,102.0
2012-12,2.5,102.5
2013-01,2.0,102.0
2013-02,3.200000000000003,103.2
2013-03,2.0999999999999943,102.1
2013-04,2.4000000000000057,102.4
2013-05,2.0999999999999943,102.1
2013-06,2.700000000000003,102.7
2013-07,2.700000000000003,102.7
2013-08,2.5999999999999943,102.6
2013-09,3.0999999999999943,103.1
2013-10,3.200000000000003,103.2
2013-11,3.0,103.0
2013-12,2.5,102.5
2014-01,2.5,102.5
2014-02,2.0,102.0
2014-03,2.4000000000000057,102.4
2014-04,1.7999999999999972,101.8
2014-05,2.5,102.5
2014-06,2.299999999999997,102.3
2014-07,2.299999999999997,102.3
2014-08,2.0,102.0
2014-09,1.5999999999999943,101.6
2014-10,1.5999999999999943,101.6
2014-11,1.4000000000000057,101.4
2014-12,1.5,101.5
2015-01,0.7999999999999972,100.8
2015-02,1.4000000000000057,101.4
2015-03,1.4000000000000057,101.4
2015-04,1.5,101.5
2015-05,1.2000000000000028,101.2
2015-06,1.4000000000000057,101.4
2015-07,1.5999999999999943,101.6
2015-08,2.0,102.0
2015-09,1.5999999999999943,101.6
2015-10,1.2999999999999972,101.3
2015-11,1.5,101.5
2015-12,1.5999999999999943,101.6
2016-01,1.7999999999999972,101.8
2016-02,2.299999999999997,102.3
2016-03,2.299999999999997,102.3
2016-04,2.299999999999997,102.3
2016-05,2.0,102.0
2016-06,1.9000000000000057,101.9
2016-07,1.7999999999999972,101.8
2016-08,1.2999999999999972,101.3
2016-09,1.9000000000000057,101.9
2016-10,2.0999999999999943,102.1
2016-11,2.299999999999997,102.3
2016-12,2.0999999999999943,102.1
2017-01,2.5,102.5
2017-02,0.7999999999999972,100.8
2017-03,0.9000000000000057,100.9
2017-04,1.2000000000000028,101.2
2017-05,1.5,101.5
2017-06,1.5,101.5
2017-07,1.4000000000000057,101.4
2017-08,1.7999999999999972,101.8
2017-09,1.5999999999999943,101.6
2017-10,1.9000000000000057,101.9
2017-11,1.7000000000000028,101.7
2017-12,1.7999999999999972,101.8
2018-01,1.5,101.5
2018-02,2.9000000000000057,102.9
2018-03,2.0999999999999943,102.1
2018-04,1.7999999999999972,101.8
2018-05,1.7999999999999972,101.8
2018-06,1.9000000000000057,101.9
2018-07,2.0999999999999943,102.1
2018-08,2.299999999999997,102.3
2018-09,2.5,102.5
2018-10,2.5,102.5
2018-11,2.200000000000003,102.2
2018-12,1.9000000000000057,101.9
2019-01,1.7000000000000028,101.7
2019-02,1.5,101.5
2019-03,2.299999999999997,102.3
2019-04,2.5,102.5
2019-05,2.700000000000003,102.7
2019-06,2.700000000000003,102.7
2019-07,2.799999999999997,102.8
2019-08,2.799999999999997,102.8
2019-09,3.0,103.0
2019-10,3.799999999999997,103.8
2019-11,4.5,104.5
2019-12,4.5,104.5
2020-01,5.400000000000006,105.4
2020-02,5.200000000000003,105.2
2020-03,4.299999999999997,104.3
2020-04,3.299999999999997,103.3
2020-05,2.4000000000000057,102.4
2020-06,2.5,102.5
2020-07,2.700000000000003,102.7
2020-08,2.4000000000000057,102.4
2020-09,1.7000000000000028,101.7
2020-10,0.5,100.5
2020-11,-0.5,99.5
2020-12,0.20000000000000284,100.2
2021-01,-0.29999999999999716,99.7
2021-02,-0.20000000000000284,99.8
2021-03,0.4000000000000057,100.4
2021-04,0.9000000000000057,100.9
2021-05,1.2999999999999972,101.3
2021-06,1.0999999999999943,101.1
2021-07,1.0,101.0
2021-08,0.7999999999999972,100.8
2021-09,0.7000000000000028,100.7
2021-10,1.5,101.5
2021-11,2.299999999999997,102.3
2021-12,1.5,101.5
2022-01,0.9000000000000057,100.9
2022-02,0.9000000000000057,100.9
2022-03,1.5,101.5
2022-04,2.0999999999999943,102.1
2022-05,2.0999999999999943,102.1
2022-06,2.5,102.5
2022-07,2.700000000000003,102.7
2022-08,2.5,102.5
2022-09,2.799999999999997,102.8
2022-10,2.0999999999999943,102.1
2022-11,1.5999999999999943,101.6
2022-12,1.7999999999999972,101.8
2023-01,2.0999999999999943,102.1
2023-02,1.0,101.0
2023-03,0.7000000000000028,100.7
2023-04,0.09999999999999432,100.1
2023-05,0.20000000000000284,100.2
2023-06,0.0,100.0
2023-07,-0.29999999999999716,99.7
2023-08,0.09999999999999432,100.1
2023-09,0.0,100.0
2023-10,-0.20000000000000284,99.8
2023-11,-0.5,99.5
2023-12,-0.29999999999999716,99.7
2024-01,-0.7999999999999972,99.2
2024-02,0.7000000000000028,100.7
2024-03,0.09999999999999432,100.1
2024-04,0.29999999999999716,100.3
2024-05,0.29999999999999716,100.3
2024-06,0.20000000000000284,100.2
2024-07,0.5,100.5
2024-08,0.5999999999999943,100.6
2024-09,0.4000000000000057,100.4
2024-10,0.29999999999999716,100.3
2024-11,0.20000000000000284,100.2
2024-12,0.09999999999999432,100.1
2025-01,0.5,100.5
2025-02,-0.7000000000000028,99.3
2025-03,-0.09999999999999432,99.9
2025-04,-0.09999999999999432,99.9
2025-05,-0.09999999999999432,99.9
2025-06,0.09999999999999432,100.1
2025-07,0.0,100.0
2025-08,-0.4000000000000057,99.6
2025-09,-0.29999999999999716,99.7
2025-10,0.20000000000000284,100.2
2025-11,0.7000000000000028,100.7
2025-12,0.7999999999999972,100.8
2026-01,0.20000000000000284,100.2
2026-02,1.2999999999999972,101.3
2026-03,1.0,101.0
2026-04,1.2000000000000028,101.2
