sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,delta_bin,selection_method
185,162,2015-06,2016-05,2016-06,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.726193,small,closed50_delta_stratified_train
186,163,2015-07,2016-06,2016-07,2013-08,2014-07,2014-08,101.8,102.0,-0.2,1.723137,small,closed50_delta_stratified_train
186,162,2015-07,2016-06,2016-07,2013-07,2014-06,2014-07,101.8,102.3,-0.5,1.928923,small,closed50_delta_stratified_train
187,164,2015-08,2016-07,2016-08,2013-09,2014-08,2014-09,101.3,101.6,-0.3,1.694097,small,closed50_delta_stratified_train
187,162,2015-08,2016-07,2016-08,2013-07,2014-06,2014-07,101.3,102.3,-1.0,1.846517,small,closed50_delta_stratified_train
188,164,2015-09,2016-08,2016-09,2013-09,2014-08,2014-09,101.9,101.6,0.3,1.778225,medium,closed50_delta_stratified_train
188,165,2015-09,2016-08,2016-09,2013-10,2014-09,2014-10,101.9,101.6,0.3,1.55414,medium,closed50_delta_stratified_train
188,162,2015-09,2016-08,2016-09,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.66794,small,closed50_delta_stratified_train
188,163,2015-09,2016-08,2016-09,2013-08,2014-07,2014-08,101.9,102.0,-0.1,1.775411,small,closed50_delta_stratified_train
189,165,2015-10,2016-09,2016-10,2013-10,2014-09,2014-10,102.1,101.6,0.5,1.74317,large,closed50_delta_stratified_train
189,164,2015-10,2016-09,2016-10,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.767028,large,closed50_delta_stratified_train
189,163,2015-10,2016-09,2016-10,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.663143,medium,closed50_delta_stratified_train
189,162,2015-10,2016-09,2016-10,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.47707,small,closed50_delta_stratified_train
190,164,2015-11,2016-10,2016-11,2013-09,2014-08,2014-09,102.3,101.6,0.7,1.694246,large,closed50_delta_stratified_train
190,165,2015-11,2016-10,2016-11,2013-10,2014-09,2014-10,102.3,101.6,0.7,1.717284,large,closed50_delta_stratified_train
190,163,2015-11,2016-10,2016-11,2013-08,2014-07,2014-08,102.3,102.0,0.3,1.465189,medium,closed50_delta_stratified_train
190,162,2015-11,2016-10,2016-11,2013-07,2014-06,2014-07,102.3,102.3,0.0,1.029295,small,closed50_delta_stratified_train
191,164,2015-12,2016-11,2016-12,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.521278,large,closed50_delta_stratified_train
191,166,2015-12,2016-11,2016-12,2013-11,2014-10,2014-11,102.1,101.4,0.7,1.690495,large,closed50_delta_stratified_train
191,163,2015-12,2016-11,2016-12,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.030495,medium,closed50_delta_stratified_train
191,162,2015-12,2016-11,2016-12,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.058107,small,closed50_delta_stratified_train
192,164,2016-01,2016-12,2017-01,2013-09,2014-08,2014-09,102.5,101.6,0.9,1.034737,large,closed50_delta_stratified_train
192,163,2016-01,2016-12,2017-01,2013-08,2014-07,2014-08,102.5,102.0,0.5,1.004861,large,closed50_delta_stratified_train
192,162,2016-01,2016-12,2017-01,2013-07,2014-06,2014-07,102.5,102.3,0.2,1.025601,medium,closed50_delta_stratified_train
193,165,2016-02,2017-01,2017-02,2013-10,2014-09,2014-10,100.8,101.6,-0.8,1.19325,small,closed50_delta_stratified_train
193,164,2016-02,2017-01,2017-02,2013-09,2014-08,2014-09,100.8,101.6,-0.8,1.17891,small,closed50_delta_stratified_train
194,168,2016-03,2017-02,2017-03,2014-01,2014-12,2015-01,100.9,100.8,0.1,1.426104,medium,closed50_delta_stratified_train
194,164,2016-03,2017-02,2017-03,2013-09,2014-08,2014-09,100.9,101.6,-0.7,1.010493,small,closed50_delta_stratified_train
194,167,2016-03,2017-02,2017-03,2013-12,2014-11,2014-12,100.9,101.5,-0.6,1.239615,small,closed50_delta_stratified_train
195,168,2016-04,2017-03,2017-04,2014-01,2014-12,2015-01,101.2,100.8,0.4,1.154632,medium,closed50_delta_stratified_train
195,170,2016-04,2017-03,2017-04,2014-03,2015-02,2015-03,101.2,101.4,-0.2,1.158887,small,closed50_delta_stratified_train
195,163,2016-04,2017-03,2017-04,2013-08,2014-07,2014-08,101.2,102.0,-0.8,1.355503,small,closed50_delta_stratified_train
196,168,2016-05,2017-04,2017-05,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.909317,large,closed50_delta_stratified_train
196,173,2016-05,2017-04,2017-05,2014-06,2015-05,2015-06,101.5,101.4,0.1,1.349242,medium,closed50_delta_stratified_train
196,166,2016-05,2017-04,2017-05,2013-11,2014-10,2014-11,101.5,101.4,0.1,0.884643,medium,closed50_delta_stratified_train
196,162,2016-05,2017-04,2017-05,2013-07,2014-06,2014-07,101.5,102.3,-0.8,1.300572,small,closed50_delta_stratified_train
196,171,2016-05,2017-04,2017-05,2014-04,2015-03,2015-04,101.5,101.5,0.0,1.183514,small,closed50_delta_stratified_train
197,168,2016-06,2017-05,2017-06,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.889347,large,closed50_delta_stratified_train
197,170,2016-06,2017-05,2017-06,2014-03,2015-02,2015-03,101.5,101.4,0.1,1.105703,medium,closed50_delta_stratified_train
197,173,2016-06,2017-05,2017-06,2014-06,2015-05,2015-06,101.5,101.4,0.1,1.488252,medium,closed50_delta_stratified_train
197,167,2016-06,2017-05,2017-06,2013-12,2014-11,2014-12,101.5,101.5,0.0,0.886607,small,closed50_delta_stratified_train
197,165,2016-06,2017-05,2017-06,2013-10,2014-09,2014-10,101.5,101.6,-0.1,1.307226,small,closed50_delta_stratified_train
198,168,2016-07,2017-06,2017-07,2014-01,2014-12,2015-01,101.4,100.8,0.6,0.90255,large,closed50_delta_stratified_train
198,172,2016-07,2017-06,2017-07,2014-05,2015-04,2015-05,101.4,101.2,0.2,1.182175,medium,closed50_delta_stratified_train
198,175,2016-07,2017-06,2017-07,2014-08,2015-07,2015-08,101.4,102.0,-0.6,1.477585,small,closed50_delta_stratified_train
198,173,2016-07,2017-06,2017-07,2014-06,2015-05,2015-06,101.4,101.4,0.0,1.183989,small,closed50_delta_stratified_train
199,172,2016-08,2017-07,2017-08,2014-05,2015-04,2015-05,101.8,101.2,0.6,1.104589,large,closed50_delta_stratified_train
199,168,2016-08,2017-07,2017-08,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.244708,large,closed50_delta_stratified_train
199,169,2016-08,2017-07,2017-08,2014-02,2015-01,2015-02,101.8,101.4,0.4,0.959625,medium,closed50_delta_stratified_train
199,174,2016-08,2017-07,2017-08,2014-07,2015-06,2015-07,101.8,101.6,0.2,1.175206,medium,closed50_delta_stratified_train
199,175,2016-08,2017-07,2017-08,2014-08,2015-07,2015-08,101.8,102.0,-0.2,1.639563,small,closed50_delta_stratified_train
199,162,2016-08,2017-07,2017-08,2013-07,2014-06,2014-07,101.8,102.3,-0.5,0.901709,small,closed50_delta_stratified_train
200,168,2016-09,2017-08,2017-09,2014-01,2014-12,2015-01,101.6,100.8,0.8,1.280054,large,closed50_delta_stratified_train
200,172,2016-09,2017-08,2017-09,2014-05,2015-04,2015-05,101.6,101.2,0.4,0.972022,medium,closed50_delta_stratified_train
200,167,2016-09,2017-08,2017-09,2013-12,2014-11,2014-12,101.6,101.5,0.1,1.520553,medium,closed50_delta_stratified_train
200,163,2016-09,2017-08,2017-09,2013-08,2014-07,2014-08,101.6,102.0,-0.4,0.886886,small,closed50_delta_stratified_train
200,165,2016-09,2017-08,2017-09,2013-10,2014-09,2014-10,101.6,101.6,0.0,1.230299,small,closed50_delta_stratified_train
201,170,2016-10,2017-09,2017-10,2014-03,2015-02,2015-03,101.9,101.4,0.5,1.276431,large,closed50_delta_stratified_train
201,166,2016-10,2017-09,2017-10,2013-11,2014-10,2014-11,101.9,101.4,0.5,1.270873,large,closed50_delta_stratified_train
201,176,2016-10,2017-09,2017-10,2014-09,2015-08,2015-09,101.9,101.6,0.3,0.997128,medium,closed50_delta_stratified_train
201,164,2016-10,2017-09,2017-10,2013-09,2014-08,2014-09,101.9,101.6,0.3,0.917834,medium,closed50_delta_stratified_train
201,163,2016-10,2017-09,2017-10,2013-08,2014-07,2014-08,101.9,102.0,-0.1,0.887535,small,closed50_delta_stratified_train
201,175,2016-10,2017-09,2017-10,2014-08,2015-07,2015-08,101.9,102.0,-0.1,0.966457,small,closed50_delta_stratified_train
202,172,2016-11,2017-10,2017-11,2014-05,2015-04,2015-05,101.7,101.2,0.5,1.009529,large,closed50_delta_stratified_train
202,168,2016-11,2017-10,2017-11,2014-01,2014-12,2015-01,101.7,100.8,0.9,1.345251,large,closed50_delta_stratified_train
202,167,2016-11,2017-10,2017-11,2013-12,2014-11,2014-12,101.7,101.5,0.2,1.451467,medium,closed50_delta_stratified_train
202,164,2016-11,2017-10,2017-11,2013-09,2014-08,2014-09,101.7,101.6,0.1,0.984057,medium,closed50_delta_stratified_train
202,163,2016-11,2017-10,2017-11,2013-08,2014-07,2014-08,101.7,102.0,-0.3,1.180007,small,closed50_delta_stratified_train
202,162,2016-11,2017-10,2017-11,2013-07,2014-06,2014-07,101.7,102.3,-0.6,1.506827,small,closed50_delta_stratified_train
203,177,2016-12,2017-11,2017-12,2014-10,2015-09,2015-10,101.8,101.3,0.5,1.038677,large,closed50_delta_stratified_train
203,168,2016-12,2017-11,2017-12,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.571176,large,closed50_delta_stratified_train
203,176,2016-12,2017-11,2017-12,2014-09,2015-08,2015-09,101.8,101.6,0.2,1.137545,medium,closed50_delta_stratified_train
203,164,2016-12,2017-11,2017-12,2013-09,2014-08,2014-09,101.8,101.6,0.2,1.216636,medium,closed50_delta_stratified_train
203,175,2016-12,2017-11,2017-12,2014-08,2015-07,2015-08,101.8,102.0,-0.2,1.211951,small,closed50_delta_stratified_train
203,162,2016-12,2017-11,2017-12,2013-07,2014-06,2014-07,101.8,102.3,-0.5,1.679689,small,closed50_delta_stratified_train
204,168,2017-01,2017-12,2018-01,2014-01,2014-12,2015-01,101.5,100.8,0.7,1.473502,large,closed50_delta_stratified_train
204,169,2017-01,2017-12,2018-01,2014-02,2015-01,2015-02,101.5,101.4,0.1,1.691193,medium,closed50_delta_stratified_train
204,172,2017-01,2017-12,2018-01,2014-05,2015-04,2015-05,101.5,101.2,0.3,1.531309,medium,closed50_delta_stratified_train
204,162,2017-01,2017-12,2018-01,2013-07,2014-06,2014-07,101.5,102.3,-0.8,1.709851,small,closed50_delta_stratified_train
204,174,2017-01,2017-12,2018-01,2014-07,2015-06,2015-07,101.5,101.6,-0.1,1.298492,small,closed50_delta_stratified_train
205,167,2017-02,2018-01,2018-02,2013-12,2014-11,2014-12,102.9,101.5,1.4,1.728167,large,closed50_delta_stratified_train
205,165,2017-02,2018-01,2018-02,2013-10,2014-09,2014-10,102.9,101.6,1.3,1.872333,large,closed50_delta_stratified_train
206,176,2017-03,2018-02,2018-03,2014-09,2015-08,2015-09,102.1,101.6,0.5,1.072628,large,closed50_delta_stratified_train
206,168,2017-03,2018-02,2018-03,2014-01,2014-12,2015-01,102.1,100.8,1.3,1.742162,large,closed50_delta_stratified_train
206,180,2017-03,2018-02,2018-03,2015-01,2015-12,2016-01,102.1,101.8,0.3,0.929035,medium,closed50_delta_stratified_train
206,163,2017-03,2018-02,2018-03,2013-08,2014-07,2014-08,102.1,102.0,0.1,1.642518,medium,closed50_delta_stratified_train
206,183,2017-03,2018-02,2018-03,2015-04,2016-03,2016-04,102.1,102.3,-0.2,0.985964,small,closed50_delta_stratified_train
206,162,2017-03,2018-02,2018-03,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.702451,small,closed50_delta_stratified_train
207,177,2017-04,2018-03,2018-04,2014-10,2015-09,2015-10,101.8,101.3,0.5,0.892583,large,closed50_delta_stratified_train
207,168,2017-04,2018-03,2018-04,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.758195,large,closed50_delta_stratified_train
207,173,2017-04,2018-03,2018-04,2014-06,2015-05,2015-06,101.8,101.4,0.4,1.668895,medium,closed50_delta_stratified_train
207,164,2017-04,2018-03,2018-04,2013-09,2014-08,2014-09,101.8,101.6,0.2,1.683977,medium,closed50_delta_stratified_train
207,175,2017-04,2018-03,2018-04,2014-08,2015-07,2015-08,101.8,102.0,-0.2,1.517455,small,closed50_delta_stratified_train
207,180,2017-04,2018-03,2018-04,2015-01,2015-12,2016-01,101.8,101.8,0.0,1.12089,small,closed50_delta_stratified_train
208,172,2017-05,2018-04,2018-05,2014-05,2015-04,2015-05,101.8,101.2,0.6,1.646455,large,closed50_delta_stratified_train
208,168,2017-05,2018-04,2018-05,2014-01,2014-12,2015-01,101.8,100.8,1.0,1.735662,large,closed50_delta_stratified_train
208,167,2017-05,2018-04,2018-05,2013-12,2014-11,2014-12,101.8,101.5,0.3,1.702255,medium,closed50_delta_stratified_train
208,174,2017-05,2018-04,2018-05,2014-07,2015-06,2015-07,101.8,101.6,0.2,1.575642,medium,closed50_delta_stratified_train
208,182,2017-05,2018-04,2018-05,2015-03,2016-02,2016-03,101.8,102.3,-0.5,1.201187,small,closed50_delta_stratified_train
208,175,2017-05,2018-04,2018-05,2014-08,2015-07,2015-08,101.8,102.0,-0.2,1.741827,small,closed50_delta_stratified_train
209,169,2017-06,2018-05,2018-06,2014-02,2015-01,2015-02,101.9,101.4,0.5,1.636576,large,closed50_delta_stratified_train
209,177,2017-06,2018-05,2018-06,2014-10,2015-09,2015-10,101.9,101.3,0.6,1.311546,large,closed50_delta_stratified_train
209,165,2017-06,2018-05,2018-06,2013-10,2014-09,2014-10,101.9,101.6,0.3,1.643952,medium,closed50_delta_stratified_train
209,179,2017-06,2018-05,2018-06,2014-12,2015-11,2015-12,101.9,101.6,0.3,0.725675,medium,closed50_delta_stratified_train
209,181,2017-06,2018-05,2018-06,2015-02,2016-01,2016-02,101.9,102.3,-0.4,1.519212,small,closed50_delta_stratified_train
209,185,2017-06,2018-05,2018-06,2015-06,2016-05,2016-06,101.9,101.9,0.0,0.910323,small,closed50_delta_stratified_train
210,168,2017-07,2018-06,2018-07,2014-01,2014-12,2015-01,102.1,100.8,1.3,1.647247,large,closed50_delta_stratified_train
210,177,2017-07,2018-06,2018-07,2014-10,2015-09,2015-10,102.1,101.3,0.8,1.647484,large,closed50_delta_stratified_train
210,180,2017-07,2018-06,2018-07,2015-01,2015-12,2016-01,102.1,101.8,0.3,0.666409,medium,closed50_delta_stratified_train
210,186,2017-07,2018-06,2018-07,2015-07,2016-06,2016-07,102.1,101.8,0.3,0.949841,medium,closed50_delta_stratified_train
210,182,2017-07,2018-06,2018-07,2015-03,2016-02,2016-03,102.1,102.3,-0.2,1.494421,small,closed50_delta_stratified_train
210,162,2017-07,2018-06,2018-07,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.71161,small,closed50_delta_stratified_train
211,180,2017-08,2018-07,2018-08,2015-01,2015-12,2016-01,102.3,101.8,0.5,1.129109,large,closed50_delta_stratified_train
211,176,2017-08,2018-07,2018-08,2014-09,2015-08,2015-09,102.3,101.6,0.7,1.338759,large,closed50_delta_stratified_train
211,188,2017-08,2018-07,2018-08,2015-09,2016-08,2016-09,102.3,101.9,0.4,1.154972,medium,closed50_delta_stratified_train
211,185,2017-08,2018-07,2018-08,2015-06,2016-05,2016-06,102.3,101.9,0.4,1.389672,medium,closed50_delta_stratified_train
211,162,2017-08,2018-07,2018-08,2013-07,2014-06,2014-07,102.3,102.3,0.0,1.540071,small,closed50_delta_stratified_train
211,183,2017-08,2018-07,2018-08,2015-04,2016-03,2016-04,102.3,102.3,0.0,1.471727,small,closed50_delta_stratified_train
